Country Name,"Country Code","2019 [YR2019] - Net official development assistance received (current US$) [DT.ODA.ODAT.CD]","2019 [YR2019] - External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","2019 [YR2019] - Short-term debt (% of total reserves) [DT.DOD.DSTC.IR.ZS]","2019 [YR2019] - Short-term debt (% of total external debt) [DT.DOD.DSTC.ZS]","2019 [YR2019] - Trade (% of GDP) [NE.TRD.GNFS.ZS]","2019 [YR2019] - Total reserves (includes gold, current US$) [FI.RES.TOTL.CD]","2019 [YR2019] - Current account balance (BoP, current US$) [BN.CAB.XOKA.CD]","2019 [YR2019] - Deposit interest rate (%) [FR.INR.DPST]","2019 [YR2019] - Lending interest rate (%) [FR.INR.LEND]","2019 [YR2019] - Wholesale price index (2010 = 100) [FP.WPI.TOTL]"
Colombia,"COL","902539978.027344","138695032538.7","30.2517074164269","11.4844","37.5213336110276","52652707434.7902","-14284973777.1075","4.49793237696047","11.7690653821827","NA"
Comoros,"COM","78239997.8637695","299464522.7","0.775730414529717","0.5233","42.0756671906187","202031707.232998","-37401621.4336349","1.75","10.5","NA"
"Congo, Dem. Rep.","COD","3025530029.29688","5437546237.5","NA","3.8424","63.173840802806","NA","-1693232060.97432","5.47583333333333","26.7358333333333","NA"
"Congo, Rep.","COG","187270004.272461","6180775666.8","22.5204944663529","3.601","127.523460745823","988316008.036768","NA","NA","NA","NA"
Costa Rica,"CRI","59759998.3215332","29823001229","30.8280586536041","9.2382","65.1194627700002","8937069411.20634","-1289119392.26517","4.63510715625992","8.74614960993387","NA"
Cote d'Ivoire,"CIV","1201229980.46875","19182287178.2","NA","4.6393","46.4009144551692","NA","-1348827419.86918","NA","NA","NA"
Croatia,"HRV","NA","NA","NA","NA","104.170991548139","20770636599.6909","1455551838.81894","NA","NA","NA"
Cuba,"CUB","499660003.662109","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Curacao,"CUW","NA","NA","NA","NA","NA","NA","-539292813.703911","NA","NA","NA"
Cyprus,"CYP","NA","NA","NA","NA","144.815363216225","1033463563.89138","-1577489124.59504","NA","NA","NA"
Czech Republic,"CZE","NA","NA","NA","NA","142.7623306061","149855634729.53","898074466.879909","0.388557809322386","3.68603218349692","NA"
Denmark,"DNK","NA","NA","NA","NA","109.29243155125","66835547933.6664","30937220319.0477","NA","NA","NA"
Djibouti,"DJI","272480010.986328","2552387069.6","74.8025442420636","14.7078","296.138780003182","501857934.384136","448272563.583165","NA","NA","NA"
Dominica,"DMA","51389999.3896484","282940980","6.90429860013703","4.0704","110.193278502552","166809123.808339","NA","1.76815416666667","7.53996066666667","NA"
Dominican Republic,"DOM","134440002.441406","35919087407.7","28.3504944437195","7.0017","51.0111449209557","8870942286.35982","-1187900000","NA","NA","NA"
Ecuador,"ECU","525049987.792969","51725111482.7","29.0448248111703","1.651","46.0768211909258","2940235064.08469","-59044772.2058958","4.435","NA","NA"
"Egypt, Arab Rep.","EGY","1740589965.82031","115079598759.7","25.3185201391419","9.8055","43.24045019823","44568837112.0669","-10221895259.0833","10.95","16.1166666666667","NA"
El Salvador,"SLV","305640014.648438","18060979891.6","49.7912579891493","12.2564","75.9767941447005","4445830632.52269","-165401551.069353","NA","NA","NA"
Equatorial Guinea,"GNQ","64069999.6948242","NA","NA","NA","94.5057559529936","40816834.5967151","NA","NA","NA","NA"
Eritrea,"ERI","276929992.675781","771710773.6","17.0464885274893","4.2343","NA","191694416.403147","NA","NA","NA","NA"
Estonia,"EST","NA","NA","NA","NA","141.806026645834","1426439025.48627","616045117.440802","NA","NA","NA"
Eswatini,"SWZ","73400001.5258789","626323301.9","7.13786613811401","5.018","89.0922606880238","440314152.603376","195651856.872725","3.685","10.125","NA"
Ethiopia,"ETH","4809970214.84375","28287820758.5","16.0291039289395","1.6957","28.8153010070423","2992704274.84051","NA","NA","NA","NA"
Faroe Islands,"FRO","NA","NA","NA","NA","106.873216469629","NA","NA","NA","NA","NA"
Fiji,"FJI","139070007.324219","1019989627","5.07550882578573","5.1915","106.564094449499","1043304264.01736","-692992352.319962","4.06137228601929","6.02745671637929","NA"
Finland,"FIN","NA","NA","NA","NA","79.40031881995","11426621292.5879","-462884410.984844","NA","NA","NA"
France,"FRA","NA","NA","NA","NA","64.5227290341624","189006435295.489","-18418375786.9075","NA","NA","NA"
French Polynesia,"PYF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gabon,"GAB","116709999.084473","7193005111.5","26.2123075115526","4.9996","72.2497973586532","1371973832.67956","NA","NA","NA","NA"
"Gambia, The","GMB","194039993.286133","717924301.5","NA","3.349","55.5386924434596","NA","NA","8.105","28","NA"
Georgia,"GEO","496730010.986328","17311924467.1","64.9137134030646","13.1456","118.599368307339","3505823162.30974","-960445299.250001","8.706875","10.8164","NA"
Germany,"DEU","NA","NA","NA","NA","87.9891274408895","224027961016.416","289603130720.076","NA","NA","NA"
Ghana,"GHA","936320007.324219","26958719428.5","61.3286042541908","17.2056","71.1120834554829","7563210340.92838","-1863971933.06699","11.5","NA","NA"
Gibraltar,"GIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Greece,"GRC","NA","NA","NA","NA","81.8217965518436","8507452886.82209","-3112110573.38847","NA","NA","NA"
Greenland,"GRL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Grenada,"GRD","14680000.3051758","550420866.4","5.85934678102","2.5157","110.126299762443","236325345.085472","NA","1.33825333333333","7.57102791666667","NA"
Guam,"GUM","NA","NA","NA","NA","78.3077166851529","NA","NA","NA","NA","NA"
Guatemala,"GTM","393850006.103516","26590513158.6","4.78218184272537","2.6588","45.5965223249487","14784046764.6684","1791148670","5.00833333333333","12.7408333333333","NA"
Guinea,"GIN","580679992.675781","2866810481.2","14.6971101136274","7.268","72.2468939523622","1417701130.96454","-314620000","3.28916666666667","NA","NA"
Guinea-Bissau,"GNB","120510002.13623","634844920.9","NA","9.3273","55.3725855838767","NA","-127409979.195969","NA","NA","NA"
Guyana,"GUY","113269996.643066","1597335212.8","20.8532327214789","7.4863","NA","573446281.433525","-1696245503.9341","0.878472222222222","10.4791666666667","NA"
Haiti,"HTI","726469970.703125","2213887988.5","NA","0.7384","47.3545792912647","NA","72214808.336835","7.88833333333333","14.1216666666667","NA"
Honduras,"HND","457570007.324219","9767488319.6","13.5168132406445","7.9492","98.0275897083463","5744253369.31693","-347298261.567879","8.41833333333333","17.3391666666667","NA"
"Hong Kong SAR, China","HKG","NA","NA","NA","NA","353.794681778553","441349592235.762","21807160861.7421","0.138333333333333","5.10416666666667","NA"
Hungary,"HUN","NA","NA","NA","NA","161.757600180338","31831003374.707","-620263568.285688","0.104764135675","1.79243378790833","NA"
Iceland,"ISL","NA","NA","NA","NA","83.6624841007599","6782387111.82889","1578738847.71768","NA","6.95","NA"
India,"IND","2610580078.125","560034518482.5","23.0391523816499","19.0665","39.3867710424728","463469902152.507","-29762864650.3282","NA","9.46625","135.091337704907"
Indonesia,"IDN","-629950012.207031","402083881043.8","34.6774055159523","11.1415","37.4487792904287","129186464020.187","-30279059752.9683","6.68833333333333","10.3658333333333","NA"
"Iran, Islamic Rep.","IRN","210399993.896484","4833707799.7","NA","33.0725","56.1730621052694","NA","NA","NA","NA","NA"
Iraq,"IRQ","2211909912.10938","NA","NA","NA","72.4643268040902","68017647833.6447","15762600000","NA","NA","NA"
Ireland,"IRL","NA","NA","NA","NA","239.836810703819","5732541811.18074","-44933860211.6341","NA","NA","NA"
Isle of Man,"IMN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Israel,"ISR","NA","NA","NA","NA","56.7662165868841","126007828810.341","13135100000","0.649679924050967","3.53355862696966","135.091337704907"
Italy,"ITA","NA","NA","NA","NA","60.108088399314","175397954131.108","64012293968.2361","NA","2.6025","NA"
Jamaica,"JAM","127069999.694824","15861791889.2","62.4833717526655","14.3037","90.1106076335994","3631089258.40452","-318538083.619109","2.55122543814244","12.9984552678412","NA"
Japan,"JPN","NA","NA","NA","NA","34.929193847498","1322443255598.64","176811231596.871","NA","NA","NA"
Jordan,"JOR","2797189941.40625","33683195972.9","NA","36.3749","85.6880461088272","NA","-1003464788.7324","4.93416666666667","8.665","NA"
Kazakhstan,"KAZ","54409999.8474121","156263392233.4","31.0408423286998","5.7522","64.8586165517565","28957509931.0023","-7296417740.29965","NA","NA","NA"
Kenya,"KEN","3250969970.70313","34217072395.4","28.6427640387167","7.6307","33.4014430678127","9115806005.21186","-5559231016.68245","7.50607030577308","12.4411328875147","NA"
Kiribati,"KIR","56659999.8474121","NA","NA","NA","NA","NA","86818266.8180729","NA","NA","NA"
"Korea, Dem. People's Rep.","PRK","151289993.286133","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Korea, Rep.","KOR","NA","NA","NA","NA","76.9964293082181","408819161841.749","59676100000","1.8525","3.44583333333333","NA"
Kosovo,"XKX","345260009.765625","2428181897.8","87.5928829824209","34.8408","85.1789594776512","965831893.179934","-447233075.832754","NA","NA","NA"
Kuwait,"KWT","NA","NA","NA","NA","98.1829442480691","43668410965.0783","33810638106.9285","1.88970833333333","4.8111","NA"
Kyrgyz Republic,"KGZ","448709991.455078","8338554140.9","21.3583504943984","6.2205","99.3730765509503","2428567693.63364","-1066826379.38992","1.54381916794072","18.9967536717482","NA"
Lao PDR,"LAO","631510009.765625","16701083150.5","54.7785882243288","3.5022","NA","1067769845.40873","-947266493.462598","NA","NA","NA"
Latvia,"LVA","NA","NA","NA","NA","121.263220088743","4479621403.97313","-221774132.27814","NA","NA","NA"
Lebanon,"LBN","1525489990.23438","73985005357.5","9.50560193496538","6.7083","96.0410275388329","52213484574.221","-11539788230.5333","9.69666666666667","10.5133333333333","NA"
Lesotho,"LSO","145979995.727539","935870653","0.0468727108065704","0.0387","138.649006505439","774095190.47731","-99923603.8819607","1.64969298245614","11.3335833333333","NA"
Liberia,"LBR","597309997.558594","1357440617.4","0.0114787894016353","0.0041","127.452275887903","493917938.697638","-653403371.780943","NA","NA","NA"
Libya,"LBY","316010009.765625","NA","NA","NA","117.473047408956","84663589516.8684","NA","NA","NA","NA"
Liechtenstein,"LIE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Lithuania,"LTU","NA","NA","NA","NA","149.65876887169","5085045225.2078","1816772388.46266","NA","NA","NA"
Luxembourg,"LUX","NA","NA","NA","NA","381.516616449664","1054874472.69212","3095328783.81975","NA","NA","NA"
"Macao SAR, China","MAC","NA","NA","NA","NA","113.686033815752","22214954000","18555824313.934","0.240615736771251","5.35664740505193","NA"
Madagascar,"MDG","756169982.910156","4065354125.4","16.6231964148577","6.9232","59.5556335841336","1693147648.47775","-330509080.273773","13","49","NA"
Malawi,"MWI","1206219970.70313","2433898565.7","8.28177647585242","2.8058","NA","824609844.266183","-1837411039.01636","NA","25.6743055555555","NA"
Malaysia,"MYS","5989999.77111816","NA","NA","NA","123.000183693894","103629721168.985","12296149593.1914","2.983390625","4.87689294871795","NA"
Maldives,"MDV","72080001.8310547","2679184642.9","44.1119551299364","12.5611","146.991519564917","762911627.717928","-1513321373.60322","3.47339906318362","11.5226361966955","NA"
Mali,"MLI","1863209960.9375","5192187894.9","NA","2.1172","61.0603147076046","NA","NA","NA","NA","NA"
Malta,"MLT","NA","NA","NA","NA","271.435675668983","937615561.122226","873146211.524962","NA","NA","NA"
Marshall Islands,"MHL","65970001.2207031","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Mauritania,"MRT","412179992.675781","5369750057","105.26161211456","20.1653","93.0357951688324","1028702420.51919","-831106401.851148","NA","NA","NA"
Mauritius,"MUS","22180000.3051758","NA","NA","NA","92.1882181053358","7362471785.78251","-756265499.760089","3.74583333333333","8.45","NA"
Mexico,"MEX","535789978.027344","469728739351.2","34.2480829727195","13.3466","77.9152934428754","183056094117.556","-4238330801.00005","3.52666666666667","8.42916666666667","NA"
"Micronesia, Fed. Sts.","FSM","92540000.9155273","NA","NA","NA","84.8997183261506","397158244.634291","NA","NA","NA","NA"
Moldova,"MDA","342690002.441406","7536392270.2","65.5324315584837","26.6051","87.3873957003879","3059660617.37019","-1119070000","4.60416666666667","8.25","NA"
Monaco,"MCO","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Mongolia,"MNG","314529998.779297","31442357714.8","67.8330682624668","9.4141","126.218065621229","4363699115.81581","-2161686815.38961","10.9576524558569","16.996623348027","NA"
Montenegro,"MNE","96940002.4414063","8339382593.6","18.1275936932454","3.324","108.51198506172","1529177036.35033","-837222750.702775","0.46045","6.175","NA"
Morocco,"MAR","757859985.351563","54967618609.9","32.9009660264765","15.8094","87.1416037596532","26412762236.8499","-4406759940.68629","3.01166666666667","NA","NA"
Mozambique,"MOZ","1907780029.29688","20354093686.1","42.3719406745653","8.0936","116.547151205313","3887925207.75165","-3022347154.77105","9.05580294301033","18.9583333333333","NA"
Myanmar,"MMR","2079929931.64063","11114399305.4","1.13414960226249","0.5943","52.0441709425081","5824261144.05248","67720479.4120727","8","16","NA"
Namibia,"NAM","148410003.662109","NA","NA","NA","81.8880251051044","2049238535.99938","-215838429.406562","5.70527807035692","9.87583333333333","NA"
Nauru,"NRU","54330001.8310547","NA","NA","NA","99.2135511191773","NA","NA","NA","NA","NA"
Nepal,"NPL","1360739990.23438","6513365074.4","4.62348577978651","6.185","49.2495265876321","8713166195.10835","-1713552490.25283","NA","NA","NA"
Netherlands,"NLD","NA","NA","NA","NA","156.224459948633","43320049622.8042","90206420131.169","NA","NA","NA"
New Caledonia,"NCL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
New Zealand,"NZL","NA","NA","NA","NA","54.0916996243138","17813501891.014","-6842708386.10406","3.00416666666667","NA","NA"
Nicaragua,"NIC","389239990.234375","11690864308.1","48.5826019300982","9.9628","94.566500281299","2397444668.92872","754100000","3.07230335842397","12.4572600828874","NA"
Niger,"NER","1490349975.58594","3605578457.9","NA","2.5713","37.7939168796292","NA","-1572440249.92645","NA","NA","NA"
Nigeria,"NGA","3517320068.35938","54832397402","0.000271286250824371","0.0001","34.0238778317108","38335890478.7729","-14627014405.3102","8.90051680291667","15.3765869808333","NA"
North Macedonia,"MKD","141800003.051758","8986208892","38.2506603990897","15.5387","138.827221454715","3650514750.41521","-418624876.738524","1.87312600792251","5.60936382915275","NA"
Northern Mariana Islands,"MNP","NA","NA","NA","NA","104.060913705584","NA","NA","NA","NA","NA"
Norway,"NOR","NA","NA","NA","NA","71.0400595434257","66946037549.8517","11687537978.6074","0.928333333333333","3.23583333333333","NA"
Oman,"OMN","NA","NA","NA","NA","90.0029235908418","16661756725.189","-4140327405.4064","3.87677023159927","5.41334351278467","NA"
Pakistan,"PAK","2170739990.23438","100818526514.4","57.4338205323222","9.4486","30.4382082628105","16586046186.2171","-8557928000","9.13199012923062","12.233054804153","180.012388084915"
Palau,"PLW","24940000.5340576","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Panama,"PAN","71459999.0844727","NA","NA","NA","84.1637482238549","3423477098.41293","-3332425706.27","2.1675","7.09","NA"
Papua New Guinea,"PNG","667349975.585938","18740421524","28.0859339422041","3.5053","NA","2338947947.22446","NA","0.88","8.65083333333333","NA"
Paraguay,"PRY","129880004.882813","16387629382.3","61.0662827397458","28.7577","71.3622668803433","7717366750.62534","-211605213.644715","NA","NA","NA"
Peru,"PER","475899993.896484","64204059473.4","12.6135968204472","13.3026","46.7892759903263","67711463443.5982","-3531134866.0459","3.66995","14.38545","118.948961917975"
Philippines,"PHL","905380004.882813","83660996210.4","19.2237352900433","20.5689","68.8418422595763","89515298355.7402","-3046835246.6567","4.08365194191513","7.09583333333333","125.311355311355"
Poland,"POL","NA","NA","NA","NA","106.363796903317","128392157887.295","2931000000","NA","NA","NA"
Portugal,"PRT","NA","NA","NA","NA","86.7082925750371","25002862227.513","887655676.866898","NA","NA","NA"
Puerto Rico,"PRI","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Qatar,"QAT","NA","NA","NA","NA","90.3196917644625","39718464943.2827","4259890109.89011","3.62646892082227","5.03907055609657","NA"
Romania,"ROU","NA","NA","NA","NA","84.9788171371444","42006529633.5014","-12191449939.2424","1.78583333333333","7.16166666666667","NA"
Russian Federation,"RUS","NA","490725792644.5","10.3930357635468","11.758","49.4443796530945","555179461638.925","64806300000","5.40416666666667","8.75333333333333","NA"
Rwanda,"RWA","1191099975.58594","6211440990.2","15.6002783993066","3.679","57.9313515913655","1464873537.8348","-1253742220.60655","7.64317035652639","16.5275","NA"
Samoa,"WSM","123720001.220703","408555300.1","0","0","89.4499305527855","177244065.937656","NA","2.685","8.92916666666667","NA"
San Marino,"SMR","NA","NA","NA","NA","307.264778080283","473110899.773361","NA","1.41565398183268","2.02890412718361","NA"
Sao Tome and Principe,"STP","51369998.9318848","251643225.5","16.1154816476048","3.0194","NA","47148376.7357912","-90025980.2153675","3.38093981481481","19.0620185185185","NA"
Saudi Arabia,"SAU","NA","NA","NA","NA","63.6597579434366","514962537825.302","38229872563.2926","NA","NA","NA"
Senegal,"SEN","1443880004.88281","13580577311.8","NA","0","62.8307975904273","NA","NA","NA","NA","NA"
Serbia,"SRB","570700012.207031","35896246593.4","17.4158348752234","7.275","112.082066034767","14994710381.1554","-3535309659.51349","NA","NA","NA"
Seychelles,"SYC","NA","NA","NA","NA","178.823285553998","580545515.11504","-271636873.009864","3.5819575237988","12.6043960402411","NA"
Sierra Leone,"SLE","594640014.648438","1808128766.7","35.1795271597291","10.3145","53.5332814615604","530137881.482077","-915430405.119839","6.40451388888889","22.99","NA"
Singapore,"SGP","NA","NA","NA","NA","323.517605315291","285477830549.322","53398713492.4468","0.1975","5.25","88.979153893317"
Sint Maarten (Dutch part),"SXM","NA","NA","NA","NA","NA","NA","-148842397.547486","NA","NA","NA"
Slovak Republic,"SVK","NA","NA","NA","NA","184.416533680084","7168770088.19532","-2842002855.24102","NA","NA","NA"
Slovenia,"SVN","NA","NA","NA","NA","159.027557774336","1015426218.95744","3049489669.0529","NA","NA","NA"
Solomon Islands,"SLB","223889999.389648","350464708.8","6.32504705361882","10.3165","85.1488234377435","571632111.089413","-153997549.50073","0.34730118954691","10.5951570347602","NA"
Somalia,"SOM","1865579956.05469","5615896657.9","NA","59.0308","133.989590045889","NA","NA","NA","NA","NA"
South Africa,"ZAF","971479980.46875","187667342218","62.5164752805842","18.3404","59.2045360593849","55055893656.867","-10666816282.2026","7.00833333333333","10.125","NA"
South Sudan,"SSD","1885270019.53125","NA","NA","NA","NA","378281747.007865","256860000","0.0601209513708148","15.6547053123274","NA"
Spain,"ESP","NA","NA","NA","NA","66.7761646309525","74731427284.1399","29606456980.1137","NA","NA","NA"
Sri Lanka,"LKA","197350006.103516","56095468647","110.374083758562","15.0488","52.3819853655423","7648305273.42442","-1808060465.43059","8.71462418973515","11.2441666666667","NA"
St. Kitts and Nevis,"KNA","NA","NA","NA","NA","NA","351161273.686018","NA","2.00926616666667","8.52342308333333","NA"
St. Lucia,"LCA","32110000.6103516","638960013.2","28.7368783318017","11.7325","NA","260870367.109565","NA","1.50433291666667","7.72247983333333","NA"
St. Martin (French part),"MAF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
St. Vincent and the Grenadines,"VCT","84480003.3569336","356601245","0","0","NA","193357067.381966","NA","1.80399266666667","8.35136941666667","NA"
Sudan,"SDN","1624670043.94531","22264288832.6","NA","24.3739","26.2016298513098","NA","-5215013936.1622","NA","NA","NA"
Suriname,"SUR","23379999.1607666","NA","NA","NA","105.412444811486","647934729.692427","-448945096.127314","8.98822045866488","14.9642193921404","NA"
Sweden,"SWE","NA","NA","NA","NA","91.1604889331736","55509629819.8897","27162464174.519","NA","NA","NA"
Switzerland,"CHE","NA","NA","NA","NA","119.702474659761","854928999231.114","49150831505.5091","-0.351080896666667","2.63292318","NA"
Syrian Arab Republic,"SYR","10249809570.3125","4590239653.7","NA","12.4027","NA","NA","NA","NA","NA","NA"
Tajikistan,"TJK","366559997.558594","6630788032.2","92.6619928577302","20.4908","56.0450159145896","1466304531.22901","-185294843.927717","5.17518323954627","23.5497072150821","NA"
Tanzania,"TZA","2153139892.57813","19584049478.2","NA","9.2626","32.9591225617615","NA","-1301335733.5109","7.10416666666667","16.9708333333333","NA"
Thailand,"THA","-338200012.207031","180229594494.8","26.720525336729","33.2625","109.631638842023","224355506654.641","38205560432.7836","1.41666666666667","4.08416666666667","NA"
Timor-Leste,"TLS","235929992.675781","203400669.6","0.228124355257427","0.7359","83.6889816860875","656221032.73923","133979914.66936","0.6417795716497","15.3621803257428","NA"
Togo,"TGO","411619995.117188","2205086254.4","NA","14.729","54.3720696493022","NA","-55443572.9474839","NA","NA","NA"
Tonga,"TON","107949996.948242","186483847.2","0","0","87.6092013449047","218448401.776129","-4214305.01655204","2.28627227440686","8.06577613962305","NA"
Trinidad and Tobago,"TTO","NA","NA","NA","NA","NA","7023899234.48145","1055959250.23033","1.5","9.25","NA"
Tunisia,"TUN","984030029.296875","37764460966.3","116.376535863915","24.4065","107.914113795213","7919981404.82365","-3284075289.94809","NA","NA","NA"
Turkey,"TUR","824909973.144531","440782959820.6","116.552217164548","27.928","62.6828637376279","105619672447.934","6759000000","25.4091666666667","NA","NA"
Turkmenistan,"TKM","25360000.6103516","567628378.2","NA","0.1367","NA","NA","NA","NA","NA","NA"
Turks and Caicos Islands,"TCA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
